x,y,bed_z,patch
7.375,42.125,3.0196,Edelstahlverkleidung
7.625,42.125,2.3200,Edelstahlverkleidung
7.875,42.125,2.1078,Substratum_weir
8.125,42.125,2.1095,Substratum_weir
8.375,42.125,2.1122,Substratum_weir
8.625,42.125,2.3010,Substratum_weir
8.875,42.125,2.3275,Substratum_weir
9.125,42.125,2.3415,Substratum_weir
9.375,42.125,2.3538,Substratum_weir
9.625,42.125,2.4624,Substratum_weir
9.875,42.125,2.6178,Substratum_weir
10.125,42.125,2.6191,Substratum_weir
7.375,42.375,2.9633,Edelstahlverkleidung
7.625,42.375,2.4731,Edelstahlverkleidung
7.875,42.375,2.1048,Substratum_fishpass
8.125,42.375,2.1058,Substratum_fishpass
8.375,42.375,2.1095,Substratum_weir
8.625,42.375,2.2512,Substratum_weir
8.875,42.375,2.3221,Substratum_weir
9.125,42.375,2.3365,Substratum_weir
9.375,42.375,2.3487,Substratum_weir
9.625,42.375,2.4019,Substratum_weir
9.875,42.375,2.6155,Substratum_weir
10.125,42.375,2.6166,Substratum_weir
10.375,42.375,3.1182,Edelstahlverkleidung
7.375,42.625,3.0186,Edelstahlverkleidung
7.625,42.625,2.5167,Edelstahlverkleidung
7.875,42.625,2.0981,Substratum_fishpass
8.125,42.625,2.0986,Substratum_fishpass
8.375,42.625,2.1016,Substratum_fishpass
8.625,42.625,2.1878,Substratum_weir
8.875,42.625,2.3165,Substratum_weir
9.125,42.625,2.3305,Substratum_weir
9.375,42.625,2.3439,Substratum_weir
9.625,42.625,2.3571,Substratum_weir
9.875,42.625,2.5910,Substratum_weir
10.125,42.625,2.6142,Substratum_weir
10.375,42.625,2.9729,Edelstahlverkleidung
7.375,42.875,3.0877,Edelstahlverkleidung
7.625,42.875,2.5649,Edelstahlverkleidung
7.875,42.875,2.0853,Substratum_fishpass
8.125,42.875,2.0857,Substratum_fishpass
8.375,42.875,2.0894,Substratum_fishpass
8.625,42.875,2.1302,Substratum_weir
8.875,42.875,2.2921,Substratum_weir
9.125,42.875,2.3119,Substratum_weir
9.375,42.875,2.3336,Substratum_weir
9.625,42.875,2.3518,Substratum_weir
9.875,42.875,2.5351,Substratum_weir
10.125,42.875,2.6119,Substratum_weir
10.375,42.875,2.8243,Edelstahlverkleidung
7.375,43.125,2.8716,Edelstahlverkleidung
7.625,43.125,2.3716,Edelstahlverkleidung
7.875,43.125,2.0721,Substratum_fishpass
8.125,43.125,2.0730,Substratum_fishpass
8.375,43.125,2.0766,Substratum_fishpass
8.625,43.125,2.0879,Substratum_weir
8.875,43.125,2.2623,Substratum_weir
9.125,43.125,2.2861,Substratum_weir
9.375,43.125,2.3068,Substratum_weir
9.625,43.125,2.3260,Substratum_weir
9.875,43.125,2.4649,Substratum_weir
10.125,43.125,2.6100,Substratum_weir
10.375,43.125,2.7150,Edelstahlverkleidung
7.375,43.375,2.5681,Edelstahlverkleidung
7.625,43.375,2.1180,Edelstahlverkleidung
7.875,43.375,2.0562,Substratum_fishpass
8.125,43.375,2.0587,Substratum_fishpass
8.375,43.375,2.0628,Substratum_fishpass
8.625,43.375,2.0879,Substratum_weir
8.875,43.375,2.2390,Substratum_weir
9.125,43.375,2.2586,Substratum_weir
9.375,43.375,2.2748,Substratum_weir
9.625,43.375,2.2933,Substratum_weir
9.875,43.375,2.3730,Substratum_weir
10.125,43.375,2.6100,Substratum_weir
10.375,43.375,2.6100,Substratum_weir
10.625,43.375,2.6100,Substratum_weir
10.875,43.375,2.6645,Edelstahlverkleidung
7.125,43.625,2.9273,Edelstahlverkleidung
7.375,43.625,2.0826,Edelstahlverkleidung
7.625,43.625,2.0426,Substratum_fishpass
7.875,43.625,2.0445,Substratum_fishpass
8.125,43.625,2.0459,Substratum_fishpass
8.375,43.625,2.0511,Substratum_fishpass
8.625,43.625,2.0895,Substratum_weir
8.875,43.625,2.2119,Substratum_weir
9.125,43.625,2.2294,Substratum_weir
9.375,43.625,2.2425,Substratum_weir
9.625,43.625,2.2611,Substratum_weir
9.875,43.625,2.2745,Substratum_weir
10.125,43.625,2.5433,Substratum_weir
10.375,43.625,2.6100,Substratum_weir
10.625,43.625,2.6100,Substratum_weir
10.875,43.625,2.6112,Substratum_weir
7.125,43.875,2.2696,Edelstahlverkleidung
7.375,43.875,2.0314,Substratum_fishpass
7.625,43.875,2.0316,Substratum_fishpass
7.875,43.875,2.0329,Substratum_fishpass
8.125,43.875,2.0335,Substratum_fishpass
8.375,43.875,2.0360,Substratum_fishpass
8.625,43.875,2.1035,Substratum_weir
8.875,43.875,2.1809,Substratum_weir
9.125,43.875,2.1963,Substratum_weir
9.375,43.875,2.2077,Substratum_weir
9.625,43.875,2.2176,Substratum_weir
9.875,43.875,2.2331,Substratum_weir
10.125,43.875,2.2663,Substratum_weir
10.375,43.875,2.6100,Substratum_weir
10.625,43.875,2.6100,Substratum_weir
10.875,43.875,2.6100,Substratum_weir
7.125,44.125,2.0174,Substratum_fishpass
7.375,44.125,2.0186,Substratum_fishpass
7.625,44.125,2.0198,Substratum_fishpass
7.875,44.125,2.0190,Substratum_fishpass
8.125,44.125,2.0198,Substratum_fishpass
8.375,44.125,2.0228,Substratum_fishpass
8.625,44.125,2.1519,Substratum_weir
8.875,44.125,2.1539,Substratum_weir
9.125,44.125,2.1588,Substratum_weir
9.375,44.125,2.1647,Substratum_weir
9.625,44.125,2.1695,Substratum_weir
9.875,44.125,2.1789,Substratum_weir
10.125,44.125,2.1835,Substratum_weir
10.375,44.125,2.2172,Substratum_weir
10.625,44.125,2.1500,Substratum_weir
10.875,44.125,2.1500,Substratum_weir
6.875,44.375,2.0262,Stahlbeton_refinement
7.125,44.375,2.0032,Substratum_fishpass
7.375,44.375,2.0042,Substratum_fishpass
7.625,44.375,2.0049,Substratum_fishpass
7.875,44.375,2.0056,Substratum_fishpass
8.125,44.375,2.0050,Substratum_fishpass
8.375,44.375,2.0194,Substratum_fishpass
8.625,44.375,2.1500,Substratum_weir
8.875,44.375,2.1500,Substratum_weir
9.125,44.375,2.1500,Substratum_weir
9.375,44.375,2.1500,Substratum_weir
9.625,44.375,2.1499,Substratum_weir
9.875,44.375,2.1498,Substratum_weir
10.125,44.375,2.1498,Substratum_weir
10.375,44.375,2.1499,Substratum_weir
10.625,44.375,2.1500,Substratum_weir
10.875,44.375,2.1500,Substratum_weir
11.125,44.375,2.1500,Substratum_weir
11.375,44.375,2.1500,Substratum_weir
11.625,44.375,2.1500,Substratum_weir
7.125,44.625,1.9830,Substratum_fishpass
7.375,44.625,1.9839,Substratum_fishpass
7.625,44.625,1.9846,Substratum_fishpass
7.875,44.625,1.9852,Substratum_fishpass
8.125,44.625,1.9857,Substratum_fishpass
8.375,44.625,2.0143,Stahlbeton_refinement
8.625,44.625,2.1500,Substratum_weir
8.875,44.625,2.1500,Substratum_weir
9.125,44.625,2.1500,Substratum_weir
9.375,44.625,2.1500,Substratum_weir
9.625,44.625,2.1499,Substratum_weir
9.875,44.625,2.1499,Substratum_weir
10.125,44.625,2.1498,Substratum_weir
10.375,44.625,2.1499,Substratum_weir
10.625,44.625,2.1500,Substratum_weir
10.875,44.625,2.1500,Substratum_weir
11.125,44.625,2.1500,Substratum_weir
11.375,44.625,2.1500,Substratum_weir
11.625,44.625,2.1500,Substratum_weir
11.875,44.625,2.1500,Substratum_weir
12.125,44.625,2.1500,Substratum_weir
7.125,44.875,1.9614,Substratum_fishpass
7.375,44.875,1.9624,Substratum_fishpass
7.625,44.875,1.9638,Substratum_fishpass
7.875,44.875,1.9642,Substratum_fishpass
8.125,44.875,1.9633,Substratum_fishpass
8.375,44.875,1.9648,Substratum_fishpass
8.625,44.875,2.1500,Substratum_weir
8.875,44.875,2.1500,Substratum_weir
9.125,44.875,2.1500,Substratum_weir
9.375,44.875,2.1500,Substratum_weir
9.625,44.875,2.1500,Substratum_weir
9.875,44.875,2.1499,Substratum_weir
10.125,44.875,2.1499,Substratum_weir
10.375,44.875,2.1500,Substratum_weir
10.625,44.875,2.1500,Substratum_weir
10.875,44.875,2.1500,Substratum_weir
11.125,44.875,2.1500,Substratum_weir
